    ddm_tol=1e-12,
SCF ddm_tol = 1e-12
SCF ddm_tol = 1e-10
cycle= 37 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.63e-11  |ddm|= 3.07e-11
cycle= 38 E= -37.2967953880986  delta_E= 7.11e-15  |g|= 1.34e-11  |ddm|= 1.8e-11
cycle= 39 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 1.12e-11  |ddm|= 9.21e-12
cycle= 40 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 9.26e-12  |ddm|= 2.11e-11
cycle= 41 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 7.74e-12  |ddm|= 1.65e-11
cycle= 42 E= -37.2967953880987  delta_E= -4.97e-14  |g|= 6.59e-12  |ddm|= 4.47e-12
cycle= 43 E= -37.2967953880986  delta_E= 5.68e-14  |g|= 5.72e-12  |ddm|= 1.22e-11
cycle= 44 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 4.56e-12  |ddm|= 5.05e-12
cycle= 45 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 4.93e-12  |ddm|= 1.9e-11
cycle= 46 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 3.86e-12  |ddm|= 1.63e-11
cycle= 47 E= -37.2967953880986  delta_E= -7.11e-15  |g|= 2.73e-12  |ddm|= 1.16e-11
cycle= 48 E= -37.2967953880986  delta_E=    0  |g|= 2.29e-12  |ddm|= 5.48e-12
cycle= 49 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 3.03e-12  |ddm|= 7.72e-12
cycle= 50 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 2.53e-12  |ddm|= 8.78e-12
cycle= 51 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 3.03e-12  |ddm|= 4.36e-12
cycle= 52 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 3.41e-12  |ddm|= 2.25e-11
cycle= 53 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 2.7e-12  |ddm|= 4.87e-12
cycle= 54 E= -37.2967953880987  delta_E= 2.13e-14  |g|= 1.71e-12  |ddm|= 1.46e-11
cycle= 55 E= -37.2967953880987  delta_E=    0  |g|= 2.54e-12  |ddm|= 4.07e-12
cycle= 56 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.85e-12  |ddm|= 1.35e-11
cycle= 57 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 1.38e-12  |ddm|= 1.6e-11
cycle= 58 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.59e-12  |ddm|= 4.95e-12
cycle= 59 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 1.86e-12  |ddm|= 9.13e-12
cycle= 60 E= -37.2967953880986  delta_E= 1.42e-14  |g|= 2.38e-12  |ddm|= 1.28e-11
cycle= 61 E= -37.2967953880987  delta_E= -4.97e-14  |g|= 1.65e-12  |ddm|= 2.06e-11
cycle= 62 E= -37.2967953880986  delta_E= 6.39e-14  |g|= 3.14e-12  |ddm|= 9.21e-12
cycle= 63 E= -37.2967953880986  delta_E=    0  |g|= 8.69e-13  |ddm|= 1.65e-11
cycle= 64 E= -37.2967953880987  delta_E= -4.26e-14  |g|= 1.85e-12  |ddm|= 1.71e-11
cycle= 65 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 1.32e-12  |ddm|= 4.19e-12
cycle= 66 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 2.65e-12  |ddm|= 1.24e-11
cycle= 67 E= -37.2967953880986  delta_E= 6.39e-14  |g|= 1.76e-12  |ddm|= 1.07e-11
cycle= 68 E= -37.2967953880986  delta_E= -3.55e-14  |g|= 2.22e-12  |ddm|= 1.35e-11
cycle= 69 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 1.83e-12  |ddm|= 1.66e-11
cycle= 70 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.5e-12  |ddm|= 8.54e-12
cycle= 71 E= -37.2967953880987  delta_E=    0  |g|= 1.22e-12  |ddm|= 9.29e-12
cycle= 72 E= -37.2967953880987  delta_E= 2.13e-14  |g|= 1.93e-12  |ddm|= 1.6e-11
cycle= 73 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 2.88e-12  |ddm|= 2.02e-11
cycle= 74 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 2.69e-12  |ddm|= 2.12e-11
cycle= 75 E= -37.2967953880986  delta_E=    0  |g|= 2.36e-12  |ddm|= 1.5e-11
cycle= 76 E= -37.2967953880986  delta_E= -7.11e-15  |g|= 2.24e-12  |ddm|= 1.88e-11
cycle= 77 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 1.99e-12  |ddm|= 3.6e-12
cycle= 78 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 3.49e-12  |ddm|= 1.34e-11
cycle= 79 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 1.89e-12  |ddm|= 1.54e-11
cycle= 80 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 2.2e-12  |ddm|= 1.54e-11
cycle= 81 E= -37.2967953880986  delta_E= 2.13e-14  |g|= 2.58e-12  |ddm|= 2.75e-11
cycle= 82 E= -37.2967953880987  delta_E= -5.68e-14  |g|= 1.13e-12  |ddm|= 1.64e-11
cycle= 83 E= -37.2967953880986  delta_E= 5.68e-14  |g|= 1.29e-12  |ddm|= 4.94e-12
cycle= 84 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 2.29e-12  |ddm|= 1.16e-11
cycle= 85 E= -37.2967953880987  delta_E=    0  |g|= 2.29e-12  |ddm|= 3.28e-12
cycle= 86 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 2.41e-12  |ddm|= 1.82e-11
cycle= 87 E= -37.2967953880987  delta_E= -8.53e-14  |g|= 2.34e-12  |ddm|= 1.03e-11
cycle= 88 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 2.44e-12  |ddm|= 1.74e-11
cycle= 89 E= -37.2967953880987  delta_E= -4.26e-14  |g|= 1.39e-12  |ddm|= 1.26e-11
cycle= 90 E= -37.2967953880987  delta_E= 4.97e-14  |g|= 3.93e-12  |ddm|= 2.61e-11
cycle= 91 E= -37.2967953880986  delta_E= 2.13e-14  |g|= 1.82e-12  |ddm|= 1.89e-11
cycle= 92 E= -37.2967953880986  delta_E=    0  |g|= 1.42e-12  |ddm|= 1.17e-11
cycle= 93 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 1.51e-12  |ddm|= 9.6e-12
cycle= 94 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 1.27e-12  |ddm|= 2.43e-12
cycle= 95 E= -37.2967953880986  delta_E= 7.11e-15  |g|= 1.83e-12  |ddm|= 1.27e-11
cycle= 96 E= -37.2967953880986  delta_E=    0  |g|= 1.08e-12  |ddm|= 1.48e-11
cycle= 97 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 3.5e-12  |ddm|= 2.18e-11
cycle= 98 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 6.17e-13  |ddm|= 1.85e-11
cycle= 99 E= -37.2967953880987  delta_E= -4.97e-14  |g|= 1.82e-12  |ddm|= 6.67e-12
cycle= 100 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 2.31e-12  |ddm|= 2.29e-11
cycle= 101 E= -37.2967953880987  delta_E= -4.26e-14  |g|= 2.49e-12  |ddm|= 3.24e-11
cycle= 102 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 1.17e-12  |ddm|= 2.05e-11
cycle= 103 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 1.67e-12  |ddm|= 1.14e-11
cycle= 104 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 9.03e-13  |ddm|= 9.54e-12
cycle= 105 E= -37.2967953880986  delta_E= 5.68e-14  |g|= 1.97e-12  |ddm|= 1.46e-11
cycle= 106 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 1.73e-12  |ddm|= 1.74e-11
cycle= 107 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.05e-12  |ddm|= 1.34e-11
cycle= 108 E= -37.2967953880986  delta_E= -7.11e-15  |g|= 2.05e-12  |ddm|= 7.45e-12
cycle= 109 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 3.47e-12  |ddm|= 9.18e-12
cycle= 110 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.45e-12  |ddm|= 1.93e-11
cycle= 111 E= -37.2967953880987  delta_E= 3.55e-14  |g|= 1.33e-12  |ddm|= 1.63e-11
cycle= 112 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.19e-12  |ddm|= 6.8e-12
